time,x,y,s,a,dis,o,dir,event,nflId,displayName,jerseyNumber,position,frameId,team,gameId,playId,playDirection,route
2018-12-16T18:04:41.099Z,33.52,31.02,0.05,0.01,0.04,234.4,238.47,None,80431,Clay Matthews,52,OLB,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,46.79,29.45,0.55,1,0.05,278.7,78.66,None,2506789,Tramon Williams,38,CB,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,36.56,27.79,0.05,0.02,0.01,271.21,265.99,None,2532928,Eddie Pleasant,35,SS,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,30.59,14.43,0,0,0,72.27,173.4,None,2543509,Allen Robinson,12,WR,1,home,2018121603,105,right,HITCH
2018-12-16T18:04:41.099Z,34.31,35.42,0.14,0.4,0.01,279.12,216.91,None,2543571,Bashaud Breeland,26,CB,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,31.56,18.53,0,0,0,88.63,75.94,None,2550284,Trey Burton,80,TE,1,home,2018121603,105,right,IN
2018-12-16T18:04:41.099Z,31.22,44.92,0.06,0.05,0,78.49,243.14,None,2550617,Taylor Gabriel,18,WR,1,home,2018121603,105,right,GO
2018-12-16T18:04:41.099Z,36.56,24.47,0.67,0.52,0.07,91.58,18.11,None,2555161,Blake Martinez,50,ILB,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,33.44,20.16,0.01,0.01,0.01,280.66,203.2,None,2555340,Kyler Fackrell,51,OLB,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,27.08,27.74,0.08,0.32,0.04,100.62,178.74,None,2555418,Jordan Howard,24,RB,1,home,2018121603,105,right,FLAT
2018-12-16T18:04:41.099Z,27.88,25.34,0.11,0,0.01,75.13,139.29,None,2558008,Mitchell Trubisky,10,QB,1,home,2018121603,105,right,
2018-12-16T18:04:41.099Z,38.36,17.56,0.26,0.57,0.03,261.96,161.61,None,2558119,Josh Jones,27,SS,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,32.16,35.35,0.04,0.05,0.01,111.85,83.34,None,2558250,Tarik Cohen,29,RB,1,home,2018121603,105,right,GO
2018-12-16T18:04:41.099Z,33.65,45.51,0.25,0.99,0.02,263.12,177.35,None,2560755,Josh Jackson,37,CB,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,39.25,13.11,0.44,0.19,0.04,284.65,216.03,None,2560952,Jaire Alexander,23,CB,1,away,2018121603,105,right,
2018-12-16T18:04:41.099Z,32.69,25.63,0,0,0,NA,NA,None,NA,Football,NA,,1,football,2018121603,105,right,
2018-12-16T18:04:41.200Z,33.51,31.02,0.05,0.01,0.01,235.1,249.81,None,80431,Clay Matthews,52,OLB,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,46.85,29.47,0.62,1.1,0.06,281.36,64.52,None,2506789,Tramon Williams,38,CB,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,36.56,27.79,0.04,0.01,0,271.21,252.16,None,2532928,Eddie Pleasant,35,SS,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,30.59,14.43,0,0,0,72.97,169.79,None,2543509,Allen Robinson,12,WR,2,home,2018121603,105,right,HITCH
2018-12-16T18:04:41.200Z,34.3,35.41,0.09,0.48,0.01,277,196.08,None,2543571,Bashaud Breeland,26,CB,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,31.56,18.53,0,0,0,88.63,80.88,None,2550284,Trey Burton,80,TE,2,home,2018121603,105,right,IN
2018-12-16T18:04:41.200Z,31.21,44.91,0.06,0.05,0.01,78.49,236.95,None,2550617,Taylor Gabriel,18,WR,2,home,2018121603,105,right,GO
2018-12-16T18:04:41.200Z,36.57,24.53,0.52,0.98,0.06,92.39,14.22,None,2555161,Blake Martinez,50,ILB,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,33.44,20.15,0.01,0.01,0,279.91,201.21,None,2555340,Kyler Fackrell,51,OLB,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,27.08,27.72,0.16,0.86,0.02,105.12,178.88,None,2555418,Jordan Howard,24,RB,2,home,2018121603,105,right,FLAT
2018-12-16T18:04:41.200Z,27.88,25.33,0.11,0.02,0.01,75.13,142.61,None,2558008,Mitchell Trubisky,10,QB,2,home,2018121603,105,right,
2018-12-16T18:04:41.200Z,38.37,17.54,0.23,0.27,0.02,259.12,160.95,None,2558119,Josh Jones,27,SS,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,32.16,35.34,0.03,0.04,0.01,110.9,86.88,None,2558250,Tarik Cohen,29,RB,2,home,2018121603,105,right,GO
2018-12-16T18:04:41.200Z,33.65,45.48,0.31,0.74,0.03,265.38,169.03,None,2560755,Josh Jackson,37,CB,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,39.23,13.08,0.32,0.37,0.03,285.76,217.69,None,2560952,Jaire Alexander,23,CB,2,away,2018121603,105,right,
2018-12-16T18:04:41.200Z,32.69,25.64,0,0,0,NA,NA,None,NA,Football,NA,,2,football,2018121603,105,right,
2018-12-16T18:04:41.299Z,33.49,31.03,0.09,0.03,0.03,236.95,271.15,None,80431,Clay Matthews,52,OLB,3,away,2018121603,105,right,
2018-12-16T18:04:41.299Z,46.89,29.53,0.76,1.48,0.07,287.53,41.76,None,2506789,Tramon Williams,38,CB,3,away,2018121603,105,right,
2018-12-16T18:04:41.299Z,36.56,27.77,0.08,0.02,0.02,270.17,195.04,None,2532928,Eddie Pleasant,35,SS,3,away,2018121603,105,right,
2018-12-16T18:04:41.299Z,30.59,14.43,0,0,0,72.97,169.53,None,2543509,Allen Robinson,12,WR,3,home,2018121603,105,right,HITCH
2018-12-16T18:04:41.299Z,34.3,35.41,0.02,0.69,0,274.76,22.12,None,2543571,Bashaud Breeland,26,CB,3,away,2018121603,105,right,
2018-12-16T18:04:41.299Z,31.56,18.53,0,0,0,89.36,80.33,None,2550284,Trey Burton,80,TE,3,home,2018121603,105,right,IN
2018-12-16T18:04:41.299Z,31.2,44.91,0.06,0.05,0.01,80.83,237.42,None,2550617,Taylor Gabriel,18,WR,3,home,2018121603,105,right,GO
2018-12-16T18:04:41.299Z,36.58,24.57,0.37,1.39,0.05,92.39,7.08,None,2555161,Blake Martinez,50,ILB,3,away,2018121603,105,right,
